OrderID,Rep,Item
1,Jones,Pencil
2,Kivell,Binder
3,Jardine,Pencil
4,Gill,Pen
5,Sorvino,Pencil
6,Jones,Binder
7,Andrews,Pencil
8,Jardine,Pencil
9,Thompson,Pencil
10,Jones,Binder
11,Morgan,Pencil
12,Howard,Binder
13,Parent,Binder
14,Jones,Pencil
15,Smith,Desk
16,Jones,Pen Set
17,Morgan,Binder
18,Jones,Pen
19,Parent,Pen
20,Kivell,Pen Set
21,Smith,Pencil
22,Parent,Pen Set
23,Gill,Binder
24,Smith,Binder
25,Jones,Binder
26,Sorvino,Binder
27,Jardine,Pen Set
28,Andrews,Pencil
29,Howard,Pen
30,Gill,Pencil
31,Gill,Binder
32,Kivell,Desk
33,Jones,Pen Set
34,Morgan,Pen Set
35,Kivell,Pen Set
36,Sorvino,Desk
37,Gill,Pencil
38,Sorvino,Pen
39,Thompson,Binder
40,Andrews,Pencil
41,Jardine,Binder
42,Jardine,Binder
43,Andrews,Binder
44,Jardine,Pencil
45,Thompson,Pencil
